x-axis;1;2;;diodo 1;
second;Volt;Volt;;Vd;Id
-3,36E+00;1,55E+10;8,75E+06;;1,55E+10;5,84E+12
-3,36E+00;1,55E+10;8,43E+06;;1,55E+10;5,62E+12
-3,35E+00;1,55E+10;8,43E+06;;1,55E+10;5,62E+12
-3,35E+00;1,50E+10;8,43E+06;;1,50E+10;5,62E+12
-3,34E+00;1,50E+10;8,12E+06;;1,50E+10;5,42E+12
-3,34E+00;1,55E+10;8,43E+06;;1,55E+10;5,62E+12
-3,33E+00;1,60E+10;8,12E+06;;1,60E+10;5,42E+12
-3,33E+00;1,50E+10;8,12E+06;;1,50E+10;5,42E+12
-3,32E+00;1,50E+10;8,12E+06;;1,50E+10;5,42E+12
-3,32E+00;1,45E+10;8,12E+06;;1,45E+10;5,42E+12
-3,31E+00;1,45E+10;8,12E+06;;1,45E+10;5,42E+12
-3,31E+00;1,50E+10;8,12E+06;;1,50E+10;5,42E+12
-3,30E+00;1,45E+10;8,43E+06;;1,45E+10;5,62E+12
-3,30E+00;1,45E+10;7,81E+06;;1,45E+10;5,21E+12
-3,29E+00;1,50E+10;8,12E+06;;1,50E+10;5,42E+12
-3,29E+00;1,45E+10;7,81E+06;;1,45E+10;5,21E+12
-3,28E+00;1,45E+10;7,81E+06;;1,45E+10;5,21E+12
-3,28E+00;1,45E+10;7,81E+06;;1,45E+10;5,21E+12
-3,27E+00;1,50E+10;7,81E+06;;1,50E+10;5,21E+12
-3,27E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,26E+00;1,50E+10;7,18E+06;;1,50E+10;4,79E+12
-3,26E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,25E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,25E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,24E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,24E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,23E+00;1,40E+10;7,50E+06;;1,40E+10;5,00E+12
-3,23E+00;1,45E+10;7,50E+06;;1,45E+10;5,00E+12
-3,22E+00;1,40E+10;7,50E+06;;1,40E+10;5,00E+12
-3,22E+00;1,45E+10;7,18E+06;;1,45E+10;4,79E+12
-3,21E+00;1,40E+10;7,50E+06;;1,40E+10;5,00E+12
-3,21E+00;1,40E+10;6,87E+06;;1,40E+10;4,58E+12
-3,20E+00;1,40E+10;7,50E+06;;1,40E+10;5,00E+12
-3,20E+00;1,40E+10;6,87E+06;;1,40E+10;4,58E+12
-3,19E+00;1,45E+10;7,18E+06;;1,45E+10;4,79E+12
-3,19E+00;1,35E+10;7,18E+06;;1,35E+10;4,79E+12
-3,18E+00;1,35E+10;7,18E+06;;1,35E+10;4,79E+12
-3,18E+00;1,40E+10;7,18E+06;;1,40E+10;4,79E+12
-3,17E+00;1,40E+10;6,87E+06;;1,40E+10;4,58E+12
-3,17E+00;1,40E+10;6,87E+06;;1,40E+10;4,58E+12
-3,16E+00;1,35E+10;7,18E+06;;1,35E+10;4,79E+12
-3,16E+00;1,35E+10;6,87E+06;;1,35E+10;4,58E+12
-3,15E+00;1,35E+10;6,56E+06;;1,35E+10;4,38E+12
-3,15E+00;1,35E+10;6,87E+06;;1,35E+10;4,58E+12
